country,year,life_expectancy
Australia,2000,79.2
Australia,2001,79.6
Australia,2002,79.9
Australia,2003,80.2
Australia,2004,80.5
Australia,2005,80.8
Australia,2006,81.0
Australia,2007,81.3
Australia,2008,81.4
Australia,2009,81.5
Australia,2010,81.7
Australia,2011,81.9
Australia,2012,82.0
Australia,2013,82.1
Australia,2014,82.3
Australia,2015,82.4
Australia,2016,82.4
Australia,2017,82.5
Australia,2018,82.8
Australia,2019,82.9
Australia,2020,83.2
Australia,2021,83.3
Australia,2022,83.2
Australia,2023,83.0
Australia,2024,83.0
Austria,2000,78.3
Austria,2001,78.8
Austria,2002,78.9
Austria,2003,78.8
Austria,2004,79.3
Austria,2005,79.5
Austria,2006,80.1
Austria,2007,80.3
Austria,2008,80.6
Austria,2009,80.5
Austria,2010,80.7
Austria,2011,81.1
Austria,2012,81.1
Austria,2013,81.3
Austria,2014,81.4
Austria,2015,81.2
Austria,2016,81.6
Austria,2017,81.6
Austria,2018,81.7
Austria,2019,81.9
Austria,2020,81.3
Austria,2021,81.3
Austria,2022,81.4
Austria,2023,81.9
Austria,2024,82.1
Canada,2000,79.3
Canada,2001,79.5
Canada,2002,79.6
Canada,2003,79.8
Canada,2004,80.1
Canada,2005,80.2
Canada,2006,80.7
Canada,2007,80.7
Canada,2008,80.8
Canada,2009,81.2
Canada,2010,81.4
Canada,2011,81.6
Canada,2012,81.8
Canada,2013,81.8
Canada,2014,81.9
Canada,2015,81.9
Canada,2016,82.0
Canada,2017,81.9
Canada,2018,81.9
Canada,2019,82.2
Canada,2020,81.6
Canada,2021,81.5
Canada,2022,81.1
Canada,2023,81.7
Canada,2024,82.2
Finland,2000,77.8
Finland,2001,78.2
Finland,2002,78.3
Finland,2003,78.6
Finland,2004,79.0
Finland,2005,79.1
Finland,2006,79.5
Finland,2007,79.6
Finland,2008,79.9
Finland,2009,80.1
Finland,2010,80.2
Finland,2011,80.6
Finland,2012,80.7
Finland,2013,81.1
Finland,2014,81.1
Finland,2015,81.4
Finland,2016,81.3
Finland,2017,81.5
Finland,2018,81.6
Finland,2019,81.9
Finland,2020,81.8
Finland,2021,81.8
Finland,2022,81.2
Finland,2023,81.6
Finland,2024,82.2
France,2000,79.2
France,2001,79.3
France,2002,79.4
France,2003,79.3
France,2004,80.3
France,2005,80.3
France,2006,80.9
France,2007,81.3
France,2008,81.4
France,2009,81.5
France,2010,81.8
France,2011,82.3
France,2012,82.1
France,2013,82.4
France,2014,82.4
France,2015,82.1
France,2016,82.4
France,2017,82.4
France,2018,82.6
France,2019,82.7
France,2020,82.2
France,2021,82.2
France,2022,82.2
France,2023,82.9
France,2024,83.0
Germany,2000,78.3
Germany,2001,78.6
Germany,2002,78.6
Germany,2003,78.6
Germany,2004,79.3
Germany,2005,79.4
Germany,2006,79.9
Germany,2007,80.1
Germany,2008,80.2
Germany,2009,80.3
Germany,2010,80.5
Germany,2011,80.6
Germany,2012,80.7
Germany,2013,80.6
Germany,2014,80.9
Germany,2015,80.6
Germany,2016,80.9
Germany,2017,81.0
Germany,2018,80.9
Germany,2019,81.2
Germany,2020,81.0
Germany,2021,80.7
Germany,2022,80.5
Germany,2023,80.9
Germany,2024,81.2
